"";"Gene";"Prot";"CorrValue"
"7432";"g.CCNA2";"p.CCNB1";0,724767297190103
"7514";"g.GO:0016032";"p.CCNB1";0,705468661005476
"27622";"g.ZNF552";"p.GO:0007165";0,693377519646914
"31033";"g.KDM4B";"p.GO:0045944";0,685335268200732
"31042";"g.ZNF552";"p.GO:0045944";0,683245038912993
"8917";"g.KDM4B";"p.ESR1";0,681621205728704
"8926";"g.ZNF552";"p.ESR1";0,680124658398187
"27613";"g.KDM4B";"p.GO:0007165";0,679800003777731
"7320";"g.ASPM";"p.CCNB1";0,677286584792724
"27816";"g.GO:0046777";"p.GO:0007165";-0,675252605097679
"2416";"g.CCNA2";"p.ASNS";0,674497125214858
"27689";"g.SLC43A3";"p.GO:0007165";-0,672635170325329
"2498";"g.GO:0016032";"p.ASNS";0,672153666821407
"7424";"g.E2F1";"p.CCNB1";0,668469983573898
"9057";"g.PREX1";"p.ESR1";0,664127177573939
"31173";"g.PREX1";"p.GO:0045944";0,663773436114747
"26473";"g.KDM4B";"p.GO:0006366";0,660791027219594
"27753";"g.PREX1";"p.GO:0007165";0,660613851896619
"26482";"g.ZNF552";"p.GO:0006366";0,652736776884886
"25114";"g.ZNF552";"p.GO:0000122";0,650725480773803
"27704";"g.FMNL2";"p.GO:0007165";-0,650180763774775
"7888";"g.CCNA2";"p.CCNE1";0,647296984872843
"25105";"g.KDM4B";"p.GO:0000122";0,646536705850294
"27724";"g.CCNA2";"p.GO:0007165";-0,645943305039642
"27691";"g.TTC39A";"p.GO:0007165";0,644260436873111
"7970";"g.GO:0016032";"p.CCNE1";0,64023623240856
"27649";"g.C4orf34";"p.GO:0007165";0,639946475515601
"31124";"g.FMNL2";"p.GO:0045944";-0,638405266444194
"2381";"g.SLC43A3";"p.ASNS";0,637121008628611
"9008";"g.FMNL2";"p.ESR1";-0,63582046732253
"26613";"g.PREX1";"p.GO:0006366";0,635795331549938
"2508";"g.GO:0046777";"p.ASNS";0,635370459726683
"5734";"g.ZNF552";"p.CDK1";-0,633376435757946
"27815";"g.GO:0045944";"p.GO:0007165";-0,633297028532706
"2304";"g.ASPM";"p.ASNS";0,632843368928607
"27808";"g.GO:0018108";"p.GO:0007165";-0,632276221041715
"27806";"g.GO:0016032";"p.GO:0007165";-0,631526453893965
"27741";"g.LMO4";"p.GO:0007165";-0,628682113533701
"5836";"g.CCNA2";"p.CDK1";0,627198221041944
"15757";"g.KDM4B";"p.PRKCD";-0,624440946743744
"25245";"g.PREX1";"p.GO:0000122";0,624180698665611
"4357";"g.KDM4B";"p.BECN1";-0,623519723742031
"31111";"g.TTC39A";"p.GO:0045944";0,623235125685109
"31109";"g.SLC43A3";"p.GO:0045944";-0,622696097290508
"7437";"g.NCAPG2";"p.CCNB1";0,620656044094712
"8995";"g.TTC39A";"p.ESR1";0,619952230037375
"27612";"g.ASPM";"p.GO:0007165";-0,619415607285446
"2314";"g.ZNF552";"p.ASNS";-0,618638974298899
