"";"Gene";"Prot";"CorrValue"
"7825";"g.KDM4B";"p.ESR1";0,687138382026979
"7936";"g.CCNA2";"p.ESR1";-0,676501769542967
"7916";"g.FMNL2";"p.ESR1";-0,662950140448676
"7824";"g.ASPM";"p.ESR1";-0,655753174668804
"7834";"g.ZNF552";"p.ESR1";0,646851685188777
"7965";"g.PREX1";"p.ESR1";0,645579628941631
"8936";"g.CCNA2";"p.GATA3";-0,636624976519037
"8901";"g.SLC43A3";"p.GATA3";-0,636215669860724
"7862";"g.LRIG1";"p.ESR1";0,627775295735785
"7901";"g.SLC43A3";"p.ESR1";-0,623758026368831
"8834";"g.ZNF552";"p.GATA3";0,622062411203889
"7903";"g.TTC39A";"p.ESR1";0,616577662523883
"7873";"g.STC2";"p.ESR1";0,616264483299446
"8965";"g.PREX1";"p.GATA3";0,610582568968901
"8825";"g.KDM4B";"p.GATA3";0,609169007852312
"7894";"g.CSRP2";"p.ESR1";-0,608382910698473
"14025";"g.KDM4B";"p.PGR";0,60280166466738
"8916";"g.FMNL2";"p.GATA3";-0,602495868282077
"8824";"g.ASPM";"p.GATA3";-0,600176923636005
"6901";"g.SLC43A3";"p.CCNE1";0,598364319323462
"8894";"g.CSRP2";"p.GATA3";-0,597833221369822
"6536";"g.CCNA2";"p.CCNB1";0,597372498043893
"7953";"g.LMO4";"p.ESR1";-0,59688890899053
"8862";"g.LRIG1";"p.GATA3";0,595098429397849
"2025";"g.KDM4B";"p.ASNS";-0,594532834365977
"6425";"g.KDM4B";"p.CCNB1";-0,590502469001251
"7973";"g.MEX3A";"p.ESR1";-0,590405229389712
"8903";"g.TTC39A";"p.GATA3";0,588995268885602
"6936";"g.CCNA2";"p.CCNE1";0,588629795362816
"7958";"g.NCOA7";"p.ESR1";-0,587511249381089
"2136";"g.CCNA2";"p.ASNS";0,584597103342899
"1701";"g.SLC43A3";"p.AR";-0,581918450763889
"6516";"g.FMNL2";"p.CCNB1";0,579470766167272
"6834";"g.ZNF552";"p.CCNE1";-0,579239969896236
"6424";"g.ASPM";"p.CCNB1";0,578507263790416
"8953";"g.LMO4";"p.GATA3";-0,576570324246298
"14073";"g.STC2";"p.PGR";0,575919565738773
"6434";"g.ZNF552";"p.CCNB1";-0,575083038612702
"6894";"g.CSRP2";"p.CCNE1";0,574554247841078
"2101";"g.SLC43A3";"p.ASNS";0,569206391841017
"8861";"g.C4orf34";"p.GATA3";0,568681456800824
"6565";"g.PREX1";"p.CCNB1";-0,568594538696032
"8842";"g.FUT8";"p.GATA3";0,567003856680603
"2165";"g.PREX1";"p.ASNS";-0,566719076538002
"5136";"g.CCNA2";"p.CDK1";0,565278876542198
"2034";"g.ZNF552";"p.ASNS";-0,564745883092748
"5025";"g.KDM4B";"p.CDK1";-0,564156288759178
"2116";"g.FMNL2";"p.ASNS";0,5626775884908
